Sr.No.,FIR No.,IPC,Date of Offence,Date of FIR,PoliceStation,Day,Time of Offence,First Vehicle,Fatalities,Serious,Minor,Second Vehicle,Fatalities,Serious,Minor,Type of Collision,Hit and Run,Intersection/Mid Block,Maneuver type as per FIR,Place/Location of Occurrence,Total Fatalities,Total Serious ,Total Minor,Latitude,Longitude,Road Name ,Road Number,Rural/Urban
196,42,"279,337,304-A,427",05/04/17,05/04/17,Nangal,Wednesday,6:10,Bus/Truck,0,0,0,Bus/Truck,1,11,0,Head on,0,Mid Block,Approaching from wrong side,daroli,1,11,0,31.3140644,76.04152704,Link Road,Link Road,Rural
197,46,"279,304-A",08/04/17,12/04/17,Nangal,Saturday,16:35,Two Wheeler,0,0,0,Pedestrian,1,0,0,Hit Pedestrian,0,Mid Block,Over Speeding,hambyal,1,0,0,31.3842533,76.3721895,Muncipality Road,Muncipality Road,Urban
198,47,"279,304-A,427",12/04/17,13/04/17,Nangal,Wednesday,10:30,Bus/Truck,0,0,0,Cyclist,1,0,0,Hit Cyclist,0,Intersection,Over Speeding,patti,1,0,0,31.3404104,76.3961028,SH,SH-22,Rural
199,52,"279,304-A",26/04/17,29/04/17,Nangal,Wednesday,10:00,Car/Jeep/Van,0,0,0,Pedestrian,1,0,0,Hit Pedestrian,0,Mid Block,Over Speeding,nangal,1,0,0,31.3704492,76.3754854,SH,SH-22,Urban
200,54,"279,304,304-A,427",30/04/17,30/04/17,Nangal,Sunday,16:25,Bus/Truck,0,0,0,Two Wheeler,2,0,0,Hit from Back,0,Mid Block,Over Speeding,KALSHERA,2,0,0,31.3942273,76.3443724,SH,SH-25,Rural
201,94,"279,337,338,427",25/06/17,30/06/17,Nangal,Sunday,18:00,Bus/Truck,0,0,0,Two Wheeler,0,2,0,Hit from Side,0,Mid Block,Over Speeding,KALSHERA,0,2,0,31.3947743,76.3443724,SH,SH-25,Rural
202,97,"279,337,338,304-A",01/07/17,03/07/17,Nangal,Saturday,9:30,Unknown,0,0,0,Cyclist,1,0,0,Hit Cyclist,0,Mid Block,Over Speeding,daroli,1,0,0,31.40644,76.4152704,Link Road,Link Road,Rural
203,98,"279,337,338,427,",05/07/17,07/07/17,Nangal,Wednesday,18:20,Bus/Truck,0,0,0,Bus/Truck,0,1,0,Head on,0,Intersection,Approaching from wrong side,MP di kothi nangal,0,1,0,31.358311,76.381942,SH,SH-22,Urban
204,100,"279,337,338,427,304-A",10/07/17,11/07/17,Nangal,Monday,21:30,Bus/Truck,0,0,0,Car/Jeep/Van,1,0,0,Head on,0,Mid Block,Approaching from wrong side,BRAHMPUR,1,0,0,31.3842533,76.3721895,Muncipality Road,Muncipality Road,Urban
205,109,"279,337,338,427",03/07/17,25/07/17,Nangal,Monday,17:00,Car/Jeep/Van,0,0,0,Two Wheeler,0,1,0,Hit from Back,0,Mid Block,Over Speeding,nangal,0,1,0,31.3704442,76.3754854,SH,SH-22,Urban
206,112,"279,337,338,427",25/07/17,29/07/17,Nangal,Tuesday,12:30,Bus/Truck,0,0,0,Two Wheeler,0,1,0,Head on,0,Mid Block,Approaching from wrong side,BHALLAN,0,1,0,31.2759781,76.3596499,SH,SH-22,Rural
207,116,"279,427,304-A",03/08/17,04/08/17,Nangal,Thursday,14:00,Car/Jeep/Van,0,0,0,Two Wheeler,1,0,0,Hit from Back,0,Intersection,Over Speeding,MP di kothi nangal,1,0,0,31.3583,76.381986,SH,SH-22,Urban
208,129,"279,338,427",17/08/17,29/08/17,Nangal,Thursday,15:54,Car/Jeep/Van,0,0,0,Two Wheeler,0,1,0,Head on,0,Mid Block,Approaching from wrong side,BRAHMPUR,0,1,0,31.3842533,76.38856136,Muncipality Road,Muncipality Road,Urban
209,133,"279,304-A,337,427",05/09/17,05/09/17,Nangal,Tuesday,12:30,Bus/Truck,0,0,0,Car/Jeep/Van,2,0,0,Hit from Side,0,Intersection,Over Speeding,naya nangal,2,0,0,31.378928,76.343867,SH,SH-25,Rural
210,138,"279,337,338,427",01/09/17,14/09/17,Nangal,Friday,16:00,Two Wheeler,0,0,0,Car/Jeep/Van,0,1,0,Head on,0,Intersection,Approaching from wrong side,Raipur,0,1,0,31.3404104,76.3961028,SH,SH-22,Rural
211,140,"279,337,338,",18/08/17,16/09/17,Nangal,Friday,9:30,Bus/Truck,0,0,0,Two Wheeler,0,1,0,Hit from Side,0,Intersection,Over Speeding,naya nangal,0,1,0,31.380086,76.363125,SH,SH-25,Rural
212,166,"279,304-A,427",08/11/17,08/11/17,Nangal,Wednesday,6:20,Car/Jeep/Van,0,0,0,Two Wheeler,1,0,0,Hit from Back,0,Mid Block,Over Speeding,Raipur,1,0,0,31.3540074,76.3834434,SH,SH-22,Rural
213,171,"279,337,338,427,",13/11/17,15/11/17,Nangal,Monday,14:40,Two Wheeler,0,0,0,Two Wheeler,0,2,0,Hit from Side,0,Mid Block,Over Speeding,BRAHMPUR,0,2,0,31.3842533,76.3721895,Muncipality Road,Muncipality Road,Urban
214,174,"279,337,338,427,304-A",17/11/17,18/11/17,Nangal,Friday,18:03,Two Wheeler,0,0,0,Two Wheeler,1,1,0,Head on,0,Intersection,Over Speeding,badlari,1,1,0,31.3416963,76.3950177,SH,SH-22,Rural
215,181,"279,337,338,427",22/11/17,06/12/17,Nangal,Wednesday,19:00,Car/Jeep/Van,0,0,0,Two Wheeler,0,2,0,Head on,0,Intersection,Over Speeding,nangal,0,2,0,31.3933281,76.3814892,Muncipality Road,Muncipality Road,Urban
216,184,"279,304-A,427",17/12/17,18/12/17,Nangal,Sunday,0:00,Bus/Truck,0,0,0,Car/Jeep/Van,1,0,0,Head on,0,Mid Block,Over Speeding,daroli,1,0,0,31.24105,76.4164432,Link Road,Link Road,Rural
217,185,"279,337,338,427",06/12/17,18/12/17,Nangal,Wednesday,13:20,Car/Jeep/Van,0,0,0,Two Wheeler,0,1,0,Hit from Back,0,Intersection,Over Speeding,suksaal,0,1,0,31.406062,76.3427994,SH,SH-25,Rural
