Sr.No.,FIR No.,IPC,Date of Offence,Date of FIR,PoliceStation,Day,Time of Offence,First Vehicle,Fatalities,Serious,Minor,Second Vehicle,Fatalities,Serious,Minor,Type of Collision,Hit and Run,Intersection/Mid Block,Maneuver type as per FIR,Place/Location of Occurrence,Total Fatalities,Total Serious ,Total Minor,Latitude,Longitude,Road Name ,Road Number,Rural/Urban
61,115,"279, 304-A",29/06/17,10/07/17,City Ropar,Thursday,20:00,Bus/Truck,0,0,0,Two Wheeler,1,0,0,Sideswipe ,0,Intersection,Over Speeding,"Nera Miltary canteen ,Ropar ",1,0,0,30.963473,76.532531,NH,NH-103A,Urban
62,121,"279, 304-A, 427",15/07/17,15/07/17,City Ropar,Saturday,11:00,Unknown,0,0,0,Two Wheeler,1,0,0,Head on,1,Intersection,Over Speeding,"Near IIT river bridge, Ropar",1,0,0,30.974788,76.498955,ODR,ODR-20,Urban
63,148,"279, 304-A",24/08/17,06/09/17,City Ropar,Thursday,7:00,Two Wheeler,0,0,0,Pedestrian,1,0,0,Hit Pedestrian,1,Intersection,Over Speeding,Near railway station Ropar,1,0,0,30.971962,76.532885,NH,NH-103A,Urban
64,169,"279, 304-A, 337",07/10/17,08/10/17,City Ropar,Saturday,20:00,Unknown,0,0,0,Pedestrian,1,0,0,Hit Pedestrian,1,Intersection,Over Speeding,Near T-Point DC office Ropar,1,0,0,30.982118,76.519865,ODR,ODR-11,Urban
65,173,"279, 304-A, 427",11/10/17,12/10/17,City Ropar,Wednesday,20:30,Two Wheeler,0,0,0,Two Wheeler,1,0,0,Sideswipe ,0,Mid Block,Over Speeding,Ropar Chamkaur Sahib link road Near bhai Himat singh Guruduara Ropar,1,0,0,"30.954205, ",76.52941,ODR,ODR-22,Urban
66,174,"279, 304-A, 427, 337",14/10/17,14/10/17,City Ropar,Saturday,8:15,Bus/Truck,0,0,0,Two Wheeler,1,0,0,Sideswipe ,1,Intersection,Approaching from wrong side,Near By pass ropar,1,0,0,"30.947276, ",76.518252,ODR,ODR-20,Urban
67,178,"279, 304-A, 427",18/10/17,19/10/17,City Ropar,Wednesday,20:30,Unknown,0,0,0,Two Wheeler,1,0,0,Hit from back,1,Intersection,Over Speeding,Vill Nanakpura turn Rupnagar,1,0,0,30.97696,76.535184,NH,NH-205,Urban
68,180,"279, 304-A, 427",19/10/17,20/10/17,City Ropar,Thursday,13:30,Car/Jeep/Van,0,0,0,Two Wheeler,1,0,0,Hit from back,0,Intersection,Over Speeding,Near PS Sadar Ropar,1,0,0,30.97695,76.535187,NH,NH-205,Urban
69,183,"279, 304-A, 427",24/10/17,24/10/17,City Ropar,Tuesday,8:30,Bus/Truck,0,0,0,Pedestrian,1,0,0,Hit from back,0,Intersection,Over Speeding,New Shampura colony Rupnagar,1,0,0,30.964594,76.506385,ODR,ODR-20,Urban
70,189,"279, 337, 338, 427",31/10/17,02/11/17,City Ropar,Tuesday,18:15,Tractor-Trolley,0,0,0,Two Wheeler,0,1,0,Hit from back,1,Mid Block,Over Speeding,Near drug addiction centre katli road Rupnagar,0,1,0,30.9446324,76.5245254,ODR,ODR-08,Urban
